method,metric,mean,std,values
State-Feedback MAPPO,recent_episode_return,0.9665505826356552,1.5298450554659815,"[-0.5143779686310713, 3.072949267431056, 0.3410804491069814]"
State-Feedback MAPPO,recent_episode_train_return,-7.575116219453412,4.890572423987825,"[-12.674378155640444, -9.072050922521157, -0.9789195801986352]"
State-Feedback MAPPO,recent_episode_cost,85.41666666666667,51.064931432659556,"[121.6, 121.45, 13.2]"
State-Feedback MAPPO,recent_episode_length,1000.0,0.0,"[1000.0, 1000.0, 1000.0]"
Distributional MAPPO,recent_episode_return,1.5946538986598666,0.6590097468126981,"[0.7480031396445662, 1.6805957593268412, 2.3553627970081923]"
Distributional MAPPO,recent_episode_train_return,-13.718679680034318,2.2211648290597594,"[-16.851997130042584, -11.959404458116296, -12.344637451944072]"
Distributional MAPPO,recent_episode_cost,153.13333333333333,16.738246290722596,"[176.0, 136.4, 147.0]"
Distributional MAPPO,recent_episode_length,1000.0,0.0,"[1000.0, 1000.0, 1000.0]"
DMDP-MAPPO,recent_episode_return,2.3875365154426738,1.3631457388135975,"[0.7735902823387562, 2.2814747885435422, 4.1075444754457235]"
DMDP-MAPPO,recent_episode_train_return,-30.8679926451218,5.41267828680041,"[-34.41519947426859, -34.96879321206361, -23.219985249033197]"
DMDP-MAPPO,recent_episode_cost,157.41666666666666,29.1500238231273,"[159.0, 192.3, 120.95]"
DMDP-MAPPO,recent_episode_length,1000.0,0.0,"[1000.0, 1000.0, 1000.0]"
