selected,method,episode,return,cost,success,tail_risk,num_samples
True,Method 1,0,0.7926464337274925,125.0,True,0.263,2000
False,Method 1,1,0.0473792671815646,187.0,True,0.301,2000
False,Method 1,2,0.06947355666574828,0.0,True,0.0,2000
False,Method 1,3,3.0490152106222794,318.0,True,0.4205,2000
False,Method 1,4,-0.23493549798307667,0.0,False,0.0935,2000
False,Method 2,0,-0.16124998277359848,0.0,False,0.127,2000
False,Method 2,1,-1.1179435578256263,368.0,False,0.423,2000
True,Method 2,2,1.2483590907576663,0.0,True,0.0,2000
True,Method 2,3,0.8605004079444988,0.0,True,0.0,2000
False,Method 2,4,-0.8084186438623162,0.0,False,0.0,2000
False,Method 2 + rho,0,1.372313387339741,427.0,True,0.611,2000
False,Method 2 + rho,1,-1.5632443433142527,571.0,False,0.717,2000
False,Method 2 + rho,2,-0.3278350292702561,268.0,False,0.3545,2000
False,Method 2 + rho,3,3.2694055651373253,357.0,True,0.4925,2000
False,Method 2 + rho,4,0.43158385821504675,0.0,True,0.025,2000
False,Method 3,0,0.07998186592599965,0.0,True,0.057,2000
False,Method 3,1,-0.36596964102245466,364.0,False,0.461,2000
False,Method 3,2,-1.0087172303061447,782.0,False,0.83,2000
False,Method 3,3,0.5688474761658642,255.0,True,0.35,2000
False,Method 3,4,0.5996378127889366,260.0,True,0.354,2000
True,Method 4,0,2.1683312100286916,177.0,True,0.209,2000
True,Method 4,1,1.5193157315682773,56.0,True,0.105,2000
False,Method 4,2,2.0097047046837613,244.0,True,0.3065,2000
False,Method 4,3,-2.519358101961651,4.0,False,0.025,2000
False,Method 4,4,-2.417087370389267,230.0,False,0.3285,2000
